Particulars,Frequency,Unit,3-1993,3-1994,3-1995,3-1996,3-1997,3-1998,3-1999,3-2000,3-2001,3-2002,3-2003,3-2004,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Pulses Tur Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,3.5,3.4,3.5,3.46,3.51,3.58,3.55,3.54,3.7,3.79,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Pulses Gram Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,5.8,6.4,6.2,6.6,6.82,7.15,7.31,7.61,8.06,8.22,,
Agriculture Production Foodgrains Area 5 Yr Avg Oilseeds Nine Oilseeds,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,23.3,23.4,23.0,24.63,25.41,26.45,27.23,26.92,26.79,26.75,,
Agriculture Production Foodgrains Area 5 Yr Avg Oilseeds Nine Oilseeds Groundnut,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,6.6,6.6,6.3,6.31,6.18,6.25,6.29,6.06,5.88,5.81,,
Agriculture Production Foodgrains Area 5 Yr Avg Oilseeds Nine Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,5.2,5.3,5.1,5.93,6.27,6.53,6.7,6.36,6.28,6.1,,
Agriculture Production Foodgrains Area 5 Yr Avg Oilseeds Nine Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,6.3,6.3,6.3,6.86,7.25,7.81,8.4,8.83,9.21,9.57,,
Agriculture Production Foodgrains Area 5 Yr Avg Oilseeds Nine Oilseeds Sunflower,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,1.2,1.4,1.4,1.86,2.06,2.12,2.08,1.94,1.66,1.37,,
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Cotton,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,8.8,8.7,8.3,8.37,8.38,8.72,9.09,9.35,9.87,10.47,,
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Jute and Mesta,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,1.0,1.0,1.0,0.98,0.96,0.94,0.465,0.92,0.91,0.91,,
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Onion,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,0.5,0.5,0.5,0.52,0.55,0.62,0.62,,,,,
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Potato,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,1.3,1.3,1.3,1.31,1.37,1.41,1.41,,,,,
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,4.3,4.3,4.3,4.15,4.29,4.4,4.5,4.6,4.74,4.71,,
Agriculture Production Foodgrains Production Foodgrains Total,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,206.2,199.4,201.5,201.56,202.44,213.64,217.9,221.85,229.08,237.42,,
Agriculture Production Foodgrains Production Foodgrains Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,106.4,101.9,104.7,105.9,105.6,112.34,112.57,112.7,114.99,119.06,,
Agriculture Production Foodgrains Production Foodgrains Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,99.8,97.5,96.8,95.66,96.84,101.3,105.33,109.15,114.09,118.36,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Total,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,31.8,30.5,31.8,32.92,33.02,35.96,36.45,36.46,38.39,39.95,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,25.0,24.0,25.4,26.4,26.18,28.56,27.83,27.32,28.65,29.96,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,6.8,6.5,6.4,6.51,6.84,7.4,8.62,9.14,9.74,9.99,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Rice Total,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,89.3,85.2,85.6,85.72,85.72,90.7,92.83,94.02,94.87,97.24,,
Agricultural Production Foodgrains Production Foodgrains Coarse Cereals Rice Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,76.7,73.3,74.4,74.55,74.47,78.39,79.65,80.38,80.9,83.41,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Rice Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,12.6,11.9,11.2,11.18,11.25,12.31,13.18,13.64,13.97,13.83,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Wheat Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,72.6,71.0,71.3,69.73,70.34,72.9,74.61,77.04,80.55,84.36,,
